aircraft_profile,origin,destination,distance_nm,payload_kg,taxi_minutes,wind_component_knots,temperature_c,planned_burn_kg,actual_burn_kg,flight_date
generic_business_jet,EGPH,EGPF,513.55,1704.98,20.26,3.73,1.85,3642.56,3626.91,2026-04-19
generic_transport_aircraft,EDDF,LEBL,1246.5,10192.8,23.07,-26.68,-3.72,18397.31,17798.08,2025-05-18
generic_heavy_transport,EGSS,EGNX,1040.4,33716.57,10.68,-5.06,30.39,45489.59,44623.36,2026-01-17
generic_business_jet,LFPG,EHAM,1070.95,1646.73,14.79,-27.45,34.9,7547.13,7366.93,2025-02-16
generic_heavy_transport,LEBL,EGTK,313.24,11399.28,20.97,2.71,10.39,14013.69,13300.17,2025-10-11
generic_transport_aircraft,LLBG,EGTK,246.04,10675.07,22.52,16.49,8.61,3749.75,3618.44,2025-03-22
generic_heavy_transport,EGNM,EGTK,1582.12,15535.56,17.01,-30.71,31.51,68671.95,70856.41,2025-11-08
generic_business_jet,EGGW,EGLL,328.52,1730.25,26.29,28.48,18.96,2396.94,2316.27,2025-02-27
generic_business_jet,EGPH,LLBG,146.66,1617.01,26.83,-38.15,14.44,1216.17,1318.75,2025-03-07
generic_heavy_transport,EDDF,EGNM,334.8,26106.95,19.35,32.15,32.16,14933.76,15518.89,2025-12-20
generic_business_jet,EGGW,LEBL,1791.49,1274.82,15.64,-3.59,-0.16,12352.43,12450.14,2025-04-28
generic_light_aircraft,EHAM,EGGW,1287.26,123.55,7.48,-42.49,8.22,1737.75,1823.48,2025-05-23
generic_business_jet,EDDF,EGNM,277.21,1703.27,18.56,-7.19,26.38,2042.35,2068.16,2025-08-09
generic_business_jet,EGPH,EGNM,1561.03,381.26,20.38,6.69,-2.58,10728.27,10369.51,2026-02-14
generic_business_jet,LLBG,EGSS,378.82,972.92,15.28,-22.72,4.99,2725.56,2869.28,2025-10-09
generic_transport_aircraft,EGSS,EGTK,993.73,669.72,8.05,15.29,4.46,14114.35,13724.87,2025-09-04
generic_heavy_transport,EGGW,EGNM,333.94,5086.22,14.59,29.12,26.41,14473.55,14203.47,2026-02-06
generic_transport_aircraft,LFPG,LEMD,316.67,3912.14,27.31,1.33,16.69,4794.64,5191.97,2025-01-30
generic_transport_aircraft,EGTK,EDDF,1658.52,6607.95,7.25,-4.37,29.05,23908.48,24356.8,2025-07-26
generic_business_jet,EGSS,EDDF,1088.38,1229.07,15.22,1.69,15.91,7522.68,7587.47,2025-04-15
generic_business_jet,EDDF,LEBL,511.15,496.32,20.2,-8.42,32.16,3655.79,3681.09,2025-10-16
generic_transport_aircraft,EGSS,EGLL,932.83,2023.25,13.68,-39.5,4.77,13643.63,13603.29,2025-08-13
generic_transport_aircraft,LLBG,LFPG,1118.49,11853.18,20.39,-44.37,27.68,16672.85,16259.71,2025-03-10
generic_heavy_transport,EGNX,EGSS,1347.94,11217.92,12.2,-28.15,8.72,58146.3,62640.3,2026-03-13
generic_transport_aircraft,EGNX,EHAM,1633.87,10230.19,8.03,-11.11,6.07,23741.16,25982.99,2025-05-15
generic_business_jet,EGLL,LEBL,1283.45,1141.36,8.46,30.6,22.64,8657.86,8676.08,2025-01-19
generic_transport_aircraft,LLBG,EGPH,304.9,1965.62,12.78,26.92,26.84,4430.28,4764.58,2025-05-08
generic_business_jet,EDDF,EGSS,1027.6,1612.07,27.42,14.96,32.03,7160.44,6513.14,2025-03-25
generic_light_aircraft,LEBL,LLBG,768.58,171.74,26.34,17.59,11.47,1017.76,973.76,2025-03-23
generic_light_aircraft,LEBL,LEMD,1575.65,443.44,10.89,20.33,13.41,2032.19,1872.6,2026-02-12
generic_business_jet,LLBG,EGGW,1203.36,897.7,12.13,-39.45,25.93,8483.91,8153.35,2026-03-08
generic_heavy_transport,LFPG,EGPH,247.42,43816.02,9.93,32.0,5.62,11040.45,11623.64,2025-08-11
generic_transport_aircraft,EGPH,LEBL,810.87,11818.71,8.54,26.96,2.6,11669.9,12330.34,2026-02-17
generic_transport_aircraft,LFPG,LEMD,1347.12,8212.23,14.01,-39.4,21.57,19825.32,20146.6,2025-06-10
generic_transport_aircraft,EDDF,EGSS,572.07,4056.77,14.98,-12.81,6.83,8365.88,8700.79,2025-12-13
generic_transport_aircraft,LEMD,EGLL,573.17,6801.28,6.01,-22.05,12.2,8356.74,8701.05,2025-12-02
generic_business_jet,EGPH,LFPG,1230.73,1066.76,23.46,31.79,24.44,8407.31,8202.58,2025-11-14
generic_transport_aircraft,EGPH,EGSS,1363.25,8237.15,10.94,-29.07,-4.02,19941.12,19188.01,2025-09-01
generic_light_aircraft,EHAM,LLBG,772.34,351.91,10.28,10.71,14.78,1009.2,1173.73,2026-02-03
generic_light_aircraft,EGPF,EGGW,1726.23,307.18,7.1,-25.06,28.93,2309.16,2494.58,2026-02-15
generic_transport_aircraft,EGNM,LEMD,1025.91,4148.93,22.62,-9.59,27.6,14952.65,15628.08,2025-08-17
generic_heavy_transport,EGLL,LEBL,834.87,35071.07,24.48,-22.82,26.11,37309.52,35950.98,2025-05-03
generic_light_aircraft,EGNX,LFPG,546.45,208.69,13.03,-1.79,0.53,727.46,734.69,2025-02-02
generic_business_jet,EGPF,EGNM,862.7,393.4,24.32,-13.84,25.79,6102.62,6615.55,2025-01-11
generic_transport_aircraft,LLBG,LEBL,882.1,11341.53,12.57,-13.8,30.67,12947.17,13401.27,2026-02-14
generic_transport_aircraft,EHAM,EGGW,524.0,6084.88,14.55,8.51,26.93,7636.11,7187.95,2026-03-07
generic_heavy_transport,EGNM,EGLL,982.39,41277.15,19.02,8.04,-1.64,43356.34,39041.44,2025-05-14
generic_business_jet,EGPF,EGPH,618.61,1441.84,14.34,15.16,28.28,4295.43,4501.16,2025-02-11
generic_transport_aircraft,EGNM,EGTK,136.41,11447.08,10.93,-39.51,33.29,2126.12,2154.54,2026-03-06
generic_light_aircraft,EGTK,EDDF,266.52,367.78,18.41,-27.56,22.98,382.68,384.01,2025-03-27
generic_heavy_transport,EHAM,EDDF,1305.72,36111.68,9.6,-20.12,18.15,57338.23,61062.77,2025-07-12
generic_light_aircraft,EGPF,LEBL,1084.13,432.23,11.34,10.78,7.06,1413.17,1369.19,2026-02-17
generic_heavy_transport,EGSS,LLBG,1418.53,18888.15,15.42,-15.35,15.24,61441.17,57873.91,2025-02-24
generic_transport_aircraft,EGPF,EGPH,1499.38,8634.05,15.58,13.7,33.62,21610.5,23554.19,2026-02-18
generic_transport_aircraft,LFPG,LLBG,809.43,8906.8,11.9,23.14,28.23,11662.61,12796.12,2025-08-26
generic_transport_aircraft,EHAM,EDDF,635.38,6184.52,13.15,-6.0,9.19,9259.22,9804.2,2025-05-24
generic_heavy_transport,EHAM,LEBL,1020.41,25665.09,10.2,-25.69,11.26,44576.68,42867.03,2025-12-31
generic_transport_aircraft,EGNM,LFPG,208.31,3048.36,21.22,-20.5,18.26,3211.75,3167.25,2025-09-29
generic_heavy_transport,EGPH,EGNM,1010.93,19072.42,15.98,-20.47,4.22,44040.91,43662.4,2026-01-26
generic_light_aircraft,LEMD,EGLL,1341.25,210.6,18.97,15.82,18.87,1749.4,1666.98,2026-03-03
generic_business_jet,EGGW,EGPH,359.92,321.22,17.75,-23.06,33.97,2625.25,2414.42,2026-03-21
generic_light_aircraft,LEBL,EGNM,66.53,213.74,16.53,-17.74,33.62,122.45,119.03,2026-03-18
generic_transport_aircraft,EGNM,EGSS,748.24,1351.94,19.85,-40.71,0.97,11027.52,10551.05,2025-03-02
generic_business_jet,LFPG,LLBG,1091.2,1227.63,23.07,-14.57,31.34,7681.67,7543.36,2025-10-29
generic_transport_aircraft,EGPF,EGNX,150.7,11541.25,8.18,16.02,20.02,2247.89,2243.21,2025-10-10
generic_light_aircraft,EGSS,EGGW,835.63,337.52,12.41,-26.48,23.28,1131.09,1156.59,2025-08-21
generic_business_jet,EGSS,LEMD,509.29,1486.87,18.98,19.31,2.91,3571.08,3676.35,2025-05-17
generic_light_aircraft,LLBG,EGLL,336.19,223.04,22.48,0.54,6.54,464.14,476.17,2025-12-19
generic_business_jet,EGNX,LEBL,522.79,1109.97,15.63,2.84,30.58,3682.17,4244.58,2025-12-12
generic_transport_aircraft,LLBG,EHAM,81.41,9294.74,24.07,1.1,25.52,1420.48,1314.68,2025-09-23
generic_heavy_transport,EDDF,EGNM,363.51,28413.19,19.97,-5.66,-1.35,16387.65,15919.04,2026-03-16
generic_business_jet,EGLL,EGPF,914.55,1293.88,14.81,15.84,-3.53,6284.18,6538.29,2025-05-10
generic_heavy_transport,EGPH,EGSS,754.33,25583.85,27.74,7.61,16.7,33306.91,32297.23,2026-01-23
generic_business_jet,EGNM,LEMD,135.58,700.58,8.88,-21.96,30.23,1011.31,1029.9,2025-01-15
generic_transport_aircraft,EDDF,EHAM,1290.67,4073.63,6.3,-12.36,3.99,18596.64,18869.34,2025-11-28
generic_transport_aircraft,LLBG,EGLL,1302.64,6352.03,12.02,21.78,34.21,18636.54,18214.2,2025-10-10
generic_light_aircraft,EGLL,EGNM,1096.91,398.52,9.0,-39.42,25.91,1490.49,1536.07,2025-05-17
generic_business_jet,LLBG,EGTK,568.97,1180.41,27.98,-5.83,0.94,4093.06,3930.48,2025-06-26
generic_transport_aircraft,EGPH,EHAM,707.0,11227.8,25.13,33.46,4.55,10315.52,9487.14,2025-06-12
generic_transport_aircraft,LEMD,EGNM,1469.02,4939.91,20.6,20.66,34.23,21051.81,22580.98,2025-01-19
generic_heavy_transport,EGLL,EHAM,627.65,9014.58,24.59,-37.02,31.42,27775.47,28623.9,2025-03-21
generic_transport_aircraft,EGSS,LFPG,510.11,7667.48,14.74,-38.57,8.14,7591.28,7613.71,2025-10-01
generic_transport_aircraft,EGPF,EGPH,1602.45,6111.4,17.9,4.4,4.39,23097.27,22678.35,2025-02-16
generic_transport_aircraft,EGPF,EGSS,1280.33,1655.83,9.66,-21.04,-3.84,18483.43,17716.69,2025-01-29
generic_business_jet,EGNX,EGPF,300.47,1096.75,18.45,18.4,1.8,2158.57,2369.8,2025-05-04
generic_light_aircraft,EGNM,EDDF,854.32,201.59,11.62,-44.25,27.19,1172.79,1234.92,2025-12-13
generic_light_aircraft,LFPG,EGLL,1703.89,495.06,12.58,31.96,22.61,2185.16,2086.94,2026-03-13
generic_business_jet,EGNM,EGSS,1048.72,1162.22,27.84,-21.38,34.12,7453.82,7546.97,2025-05-21
generic_heavy_transport,EGTK,EDDF,1410.94,43944.11,26.03,14.61,28.31,62248.6,67101.32,2026-02-15
generic_transport_aircraft,EGPH,EGGW,1134.66,8294.29,21.86,7.73,28.53,16486.64,15588.59,2026-04-08
generic_light_aircraft,EDDF,LEMD,1429.01,113.35,14.03,-34.49,31.39,1937.59,1886.39,2026-02-07
generic_transport_aircraft,LFPG,EGPH,1648.17,10050.44,11.65,20.98,14.27,23660.98,24855.95,2026-01-18
generic_transport_aircraft,LLBG,EGPH,866.92,1365.94,22.59,-26.95,22.05,12706.9,12385.21,2025-10-13
generic_transport_aircraft,EGPH,EGSS,69.43,6670.58,16.01,8.83,21.89,1157.48,1100.5,2026-02-26
generic_light_aircraft,EDDF,EGPH,455.36,110.01,25.45,-0.09,31.61,636.04,638.3,2026-04-11
generic_transport_aircraft,LEMD,EGNX,249.77,1021.49,6.82,34.67,-0.36,3568.26,3638.04,2025-10-03
generic_transport_aircraft,EGLL,EGNM,1221.7,9046.11,26.81,-11.47,24.69,17940.22,18516.95,2025-09-08
generic_heavy_transport,EHAM,EGPF,535.94,32611.23,10.78,-9.42,4.44,23621.81,24732.04,2025-12-18
generic_heavy_transport,EGPH,EHAM,1176.67,7422.0,12.07,32.46,32.96,49654.18,50192.44,2025-11-24
generic_light_aircraft,EHAM,EGTK,630.31,495.53,23.31,-28.58,28.19,877.2,858.3,2025-10-28
generic_business_jet,EGGW,EGNX,303.96,1650.8,6.06,23.67,0.79,2088.8,2148.55,2025-12-05
generic_light_aircraft,LLBG,EGTK,673.72,415.37,18.95,-43.74,5.61,929.16,957.46,2025-08-04
generic_transport_aircraft,LFPG,EGSS,880.81,9447.2,17.29,-36.28,15.15,13047.02,13248.25,2026-03-20
generic_business_jet,EDDF,LFPG,1174.06,346.73,27.97,22.78,12.05,8083.7,8039.18,2025-12-31
generic_heavy_transport,EGNM,EGSS,610.31,10933.35,8.78,4.95,18.41,26154.07,25822.23,2025-05-31
generic_transport_aircraft,EGNM,EHAM,219.06,8570.46,24.76,7.07,25.76,3396.98,3219.16,2025-04-21
generic_heavy_transport,EGPF,LFPG,771.24,38096.77,14.77,13.37,7.5,33881.38,33334.15,2025-12-18
generic_light_aircraft,EGNM,EGSS,194.81,272.75,22.38,-15.19,0.2,283.29,294.33,2025-10-15
generic_transport_aircraft,LFPG,EGPH,765.97,10546.48,26.7,-11.17,31.63,11378.07,11866.78,2025-02-23
generic_business_jet,EHAM,LFPG,1197.57,636.37,8.38,22.63,9.7,8106.1,8222.73,2025-10-21
generic_business_jet,EGGW,LLBG,1029.49,1451.15,19.68,9.0,17.27,7127.92,6683.23,2025-01-15
generic_transport_aircraft,EGLL,EGPH,587.27,4407.98,6.13,24.59,17.65,8370.39,7943.91,2025-03-14
generic_heavy_transport,LEMD,EDDF,206.03,26219.31,14.28,-8.71,1.3,9383.53,9210.91,2025-11-02
generic_light_aircraft,EGSS,EGTK,1369.03,119.9,7.79,-9.55,11.96,1802.83,1884.14,2025-08-01
generic_transport_aircraft,EGNX,EGGW,244.75,5444.01,12.23,9.28,14.47,3612.12,3581.98,2025-11-03
generic_business_jet,EGTK,EGSS,1704.04,1451.02,22.81,-21.84,-0.2,11935.25,11761.63,2025-08-09
generic_business_jet,EGLL,EGGW,1279.94,1050.39,24.33,19.5,-2.12,8797.82,10297.37,2026-03-18
generic_business_jet,EGPH,EDDF,754.76,1260.21,12.37,-12.6,33.65,5287.71,5222.43,2025-11-13
generic_heavy_transport,EGNM,LEBL,199.67,38779.37,11.35,2.11,15.96,9072.51,8731.4,2025-06-20
generic_light_aircraft,LEBL,EGLL,1156.31,312.24,10.27,17.1,9.04,1497.19,1540.43,2025-11-27
generic_business_jet,LLBG,EGLL,302.01,595.91,19.25,15.82,21.22,2180.67,2271.93,2026-01-22
generic_transport_aircraft,EHAM,LLBG,1240.39,10643.55,20.15,33.92,7.93,17839.77,19355.16,2025-06-11
generic_light_aircraft,EGLL,LFPG,821.08,221.13,12.04,-40.51,15.29,1116.07,1091.13,2026-03-02
generic_transport_aircraft,EGNX,EGSS,1760.28,1538.41,19.07,-14.24,18.21,25396.55,26819.35,2026-01-14
generic_heavy_transport,EGTK,LFPG,1048.26,12529.58,19.31,-4.89,33.31,45288.19,40959.61,2026-01-01
generic_transport_aircraft,EGSS,EHAM,113.69,8637.65,27.8,-3.07,19.39,1918.71,1977.63,2026-04-15
generic_business_jet,EGNX,EGNM,638.83,1196.83,23.36,6.78,-2.36,4505.65,4815.02,2026-01-06
generic_heavy_transport,LLBG,EDDF,1102.74,11014.93,7.79,8.09,31.67,46937.86,49113.52,2025-12-02
generic_business_jet,LEMD,EDDF,1089.3,1707.0,12.81,-14.87,26.67,7599.6,7840.29,2026-01-14
generic_light_aircraft,EDDF,LFPG,1221.65,303.4,6.4,-20.29,33.05,1636.53,1512.91,2026-01-28
generic_business_jet,EGNM,EGGW,286.43,415.75,24.58,-36.91,25.83,2177.28,2020.85,2026-03-25
generic_light_aircraft,LEBL,EHAM,706.14,164.9,24.29,16.69,27.36,945.71,852.88,2025-08-13
generic_business_jet,EGTK,EGNM,1307.87,1754.38,19.43,15.19,26.35,8995.19,9031.89,2026-02-06
generic_business_jet,EGNM,EGGW,1707.21,1776.66,16.16,-22.46,10.27,11921.21,12403.55,2025-03-24
generic_transport_aircraft,LLBG,EGGW,287.89,3375.04,20.11,24.93,17.18,4268.18,4631.08,2025-05-26
generic_light_aircraft,EGSS,LLBG,833.56,305.34,24.28,-37.66,31.42,1158.31,1232.34,2026-03-29
generic_business_jet,EGPH,EGTK,740.78,860.94,14.5,-38.47,3.98,5264.57,5209.25,2025-06-21
generic_light_aircraft,LEBL,EGLL,548.47,431.9,21.31,-33.9,23.22,764.71,782.16,2025-01-03
