airport_icao,fuel_type,price,currency,unit,tax_status,source_type,source_name,source_url,confidence_score,observed_at
EGTK,JET_A1,1.52,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.72,2026-05-07T09:00:00
EGTK,SAF_BLEND,2.052,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.7,2026-05-07T09:00:00
EGTK,AVGAS_100LL,1.946,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.66,2026-05-07T09:00:00
EGSS,JET_A1,1.78,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.84,2026-05-07T09:00:00
EGSS,SAF_BLEND,2.403,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.82,2026-05-07T09:00:00
EGSS,AVGAS_100LL,2.278,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.64,2026-05-07T09:00:00
EGLL,JET_A1,1.69,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.73,2026-05-07T09:00:00
EGLL,SAF_BLEND,2.281,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.69,2026-05-07T09:00:00
EGLL,AVGAS_100LL,2.163,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.72,2026-05-07T09:00:00
EGGW,JET_A1,1.465,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.76,2026-05-07T09:00:00
EGGW,SAF_BLEND,1.978,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.77,2026-05-07T09:00:00
EGGW,AVGAS_100LL,1.876,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.73,2026-05-07T09:00:00
EGNX,JET_A1,1.504,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.83,2026-05-07T09:00:00
EGNX,SAF_BLEND,2.031,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.8,2026-05-07T09:00:00
EGNX,AVGAS_100LL,1.925,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.62,2026-05-07T09:00:00
EGPH,JET_A1,1.621,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.85,2026-05-07T09:00:00
EGPH,SAF_BLEND,2.189,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.71,2026-05-07T09:00:00
EGPH,AVGAS_100LL,2.075,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.65,2026-05-07T09:00:00
EGPF,JET_A1,1.651,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.78,2026-05-07T09:00:00
EGPF,SAF_BLEND,2.229,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.67,2026-05-07T09:00:00
EGPF,AVGAS_100LL,2.114,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.64,2026-05-07T09:00:00
EGNM,JET_A1,1.629,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.83,2026-05-07T09:00:00
EGNM,SAF_BLEND,2.2,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.8,2026-05-07T09:00:00
EGNM,AVGAS_100LL,2.086,GBP,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.77,2026-05-07T09:00:00
LFPG,JET_A1,1.627,EUR,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.9,2026-05-07T09:00:00
LFPG,SAF_BLEND,2.197,EUR,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.72,2026-05-07T09:00:00
EHAM,JET_A1,1.61,EUR,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.87,2026-05-07T09:00:00
EHAM,SAF_BLEND,2.174,EUR,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.77,2026-05-07T09:00:00
EDDF,JET_A1,1.662,EUR,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.82,2026-05-07T09:00:00
EDDF,SAF_BLEND,2.244,EUR,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.78,2026-05-07T09:00:00
LEMD,JET_A1,1.429,EUR,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.76,2026-05-07T09:00:00
LEMD,SAF_BLEND,1.929,EUR,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.7,2026-05-07T09:00:00
LEBL,JET_A1,1.436,EUR,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.76,2026-05-07T09:00:00
LEBL,SAF_BLEND,1.939,EUR,LITRE,SYNTHETIC_EX_TAX,mock_live_provider,AeroFuel Synthetic Provider,,0.67,2026-05-07T09:00:00
